2021-06-21 12:06:17 INFO  HomePage :69 - Get first name:[[ChromeDriver: chrome on WINDOWS (c88dcda23803f6282f3176013b50955e)] -> xpath: //input[@id='FirstName']]
2021-06-21 12:06:124 INFO  HomePage :74 - Get last name:[[ChromeDriver: chrome on WINDOWS (c88dcda23803f6282f3176013b50955e)] -> xpath: //input[@id='LastName']]
2021-06-21 12:06:298 INFO  HomePage :80 - Date:[[ChromeDriver: chrome on WINDOWS (c88dcda23803f6282f3176013b50955e)] -> xpath: //select[@name='DateOfBirthDay']//option[contains(text(),'11')]]
2021-06-21 12:06:375 INFO  HomePage :85 - Month:[[ChromeDriver: chrome on WINDOWS (c88dcda23803f6282f3176013b50955e)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
2021-06-21 12:06:459 INFO  HomePage :90 - Year:[[ChromeDriver: chrome on WINDOWS (c88dcda23803f6282f3176013b50955e)] -> xpath: //select[@name='DateOfBirthYear']//option[contains(text(),'2011')]]
2021-06-21 12:06:490 INFO  HomePage :94 - Get Email id:[[ChromeDriver: chrome on WINDOWS (c88dcda23803f6282f3176013b50955e)] -> xpath: //input[@id='Email']]
2021-06-21 12:06:635 INFO  HomePage :99 - Get company name:[[ChromeDriver: chrome on WINDOWS (c88dcda23803f6282f3176013b50955e)] -> xpath: //input[@id='Company']]
2021-06-21 12:06:763 INFO  HomePage :104 - Get password:[[ChromeDriver: chrome on WINDOWS (c88dcda23803f6282f3176013b50955e)] -> xpath: //input[@id='Password']]
2021-06-21 12:06:905 INFO  HomePage :109 - Get password confirm:[[ChromeDriver: chrome on WINDOWS (c88dcda23803f6282f3176013b50955e)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-21 12:06:118 INFO  HomePage :123 - First name empty message:[[ChromeDriver: chrome on WINDOWS (c88dcda23803f6282f3176013b50955e)] -> xpath: //span[text()='First name is required.']]
2021-06-21 12:06:282 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 12:06:330 INFO  HomePage :55 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (cc55978b0b213e0558ba7e06db37021d)] -> xpath: //a[@class='ico-register']]
2021-06-21 12:06:360 INFO  HomePage :59 - Register Text:[[ChromeDriver: chrome on WINDOWS (cc55978b0b213e0558ba7e06db37021d)] -> xpath: //h1[text()='Register']]
2021-06-21 12:06:505 INFO  HomePage :65 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (cc55978b0b213e0558ba7e06db37021d)] -> xpath: //label[contains(text(),'Male')]]
2021-06-21 12:06:533 INFO  HomePage :69 - Get first name:[[ChromeDriver: chrome on WINDOWS (cc55978b0b213e0558ba7e06db37021d)] -> xpath: //input[@id='FirstName']]
2021-06-21 12:06:666 INFO  HomePage :74 - Get last name:[[ChromeDriver: chrome on WINDOWS (cc55978b0b213e0558ba7e06db37021d)] -> xpath: //input[@id='LastName']]
2021-06-21 12:06:847 INFO  HomePage :80 - Date:[[ChromeDriver: chrome on WINDOWS (cc55978b0b213e0558ba7e06db37021d)] -> xpath: //select[@name='DateOfBirthDay']//option[contains(text(),'11')]]
2021-06-21 12:06:941 INFO  HomePage :85 - Month:[[ChromeDriver: chrome on WINDOWS (cc55978b0b213e0558ba7e06db37021d)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
2021-06-21 12:06:25 INFO  HomePage :90 - Year:[[ChromeDriver: chrome on WINDOWS (cc55978b0b213e0558ba7e06db37021d)] -> xpath: //select[@name='DateOfBirthYear']//option[contains(text(),'2011')]]
2021-06-21 12:06:51 INFO  HomePage :94 - Get Email id:[[ChromeDriver: chrome on WINDOWS (cc55978b0b213e0558ba7e06db37021d)] -> xpath: //input[@id='Email']]
2021-06-21 12:06:182 INFO  HomePage :99 - Get company name:[[ChromeDriver: chrome on WINDOWS (cc55978b0b213e0558ba7e06db37021d)] -> xpath: //input[@id='Company']]
2021-06-21 12:06:308 INFO  HomePage :104 - Get password:[[ChromeDriver: chrome on WINDOWS (cc55978b0b213e0558ba7e06db37021d)] -> xpath: //input[@id='Password']]
